Park,Latitude,Longitude
Acadia National Park,44.3386,68.2733
American Samoa National Park,14.2583,170.683
Arches,38.7331,109.59
Badlands National Park,43.8554,102.3397
Big Bend National Park,29.2498,103.2502
Bryce Canyon National Park,37.593,112.187
Capitol Reef National Park,38.0877,111.13
Carlsbad Caverns National Park,32.1291,104.55
Channel Islands National Park,34.0069,119.77
Congaree National Park,33.7948,80.7821
Crater Lake National Park,42.8684,112.1685
Cuyahoga Valley National Park,41.2808,81.5678
Death Valley,36.5323,116.9325
Denali,63.1148,151.19
Dry Tortugas,24.6285,82.8732
Everglades,25.2866,82.8732
Gates of the Artic,67.88,153.186
Glacier,48.759,113.787
Glacier Bay,58.665,136.9
Grand Canyon,36.106,112.112
Grand Teton,43.7904,110.6818
Great Basin,38.93,114.2634
Great Sand Dunes,37.733,105.5125
Great Smoky Mountains,35.613,83.55
Guadalupe Mountains,31.9231,104.8645
Haleakalā,20.7204,156.1552
Hawaiʻi Volcanoes,19.4194,155.2885
Hot Springs,34.5217,93.0424
Indiana Dunes,41.6506,87.0708
Isle Royale,47.9959,88.9093
Joshua Tree National Park,33.8734,115.901
Katmai,58.6126,155.0631
Kenai Fjords,59.8487,150.1879
Kings Canyon,36.8879,118.5551
Kobuk Valley,67.3356,159.1243
Lake Clark,60.4127,154.3235
Lassen Volcanic,40.4977,121.4207
Mammoth Cave,37.1815,86.1505
Mesa Verde,37.2309,108.4618
Mount Rainer,46.8523,121.7603
New River Gorge,37.8776,81.0189
North Cascades,48.7718,121.2985
Olympic,47.8021,123.6044
Petrified Forest,35.003,109.78
Pinnacles,36.409,121.1825
Redwood,41.2132,124.0046
Rocky Mountain,40.3428,105.6836
Saguaro,32.2967,111.16
Sequoia,36.4864,118.5658
Shenandoah,38.4755,78.4535
Theodore Roosevelt,46.979,103.5387
Virgin Islands,18.3424,64.7486
Voyageurs,48.4725,92.8492
White Sands ,32.7872,106.3257
Wind Cave,43.5724,103.4416
Wrangell–St. Elias,61.7104,142.9857
Yellowstone,44.42,110.588
Yosemite,37.86,119.538
Zion,37.298,113.0263
Canyonlands,38.2136,109.9025
Biscayne National Park,25.65,80.08
Black Canyon of the Gunnison,38.57,107.72
Gateway Arch,38.63,90.19
